date,keyWords
2019-01-29,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '여성숏패딩', '롱패딩', '여성경량패딩', '남아한복', '니트원피스', '트위드자켓', '여성코트', '여성롱패딩', '몽클레어여성패딩', '쉬즈미스코트', '여성체크코트', '롱원피스', '올리브데올리브코트', '코트', '블라우스', '여성패딩']"
2019-01-30,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '여성숏패딩', '여성경량패딩', '남아한복', '니트원피스', '롱패딩', '트위드자켓', '여성코트', '몽클레어여성패딩', '여성롱패딩', '롱원피스', '쉬즈미스코트', '여성체크코트', '블라우스', '써스데이아일랜드원피스', '코트', '여성패딩']"
2019-01-31,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '여성숏패딩', '여성경량패딩', '롱패딩', '트위드자켓', '니트원피스', '남아한복', '몽클레어여성패딩', '쉬즈미스코트', '여성롱패딩', '여성코트', '여성체크코트', '롱원피스', '블라우스', '써스데이아일랜드원피스', '여성패딩', '코트']"
2019-02-01,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '여성숏패딩', '여성경량패딩', '트위드자켓', '롱패딩', '니트원피스', '몽클레어여성패딩', '여성롱패딩', '쉬즈미스코트', '여성코트', '롱원피스', '남아한복', '여성체크코트', '블라우스', '여성패딩', '써스데이아일랜드원피스', '써스데이아일랜드']"
2019-02-02,"['핸드메이드코트', '원피스', '여성핸드메이드코트', '여아한복', '여성경량패딩', '트위드자켓', '여성숏패딩', '롱패딩', '니트원피스', '쉬즈미스코트', '몽클레어여성패딩', '여성코트', '여성롱패딩', '롱원피스', '여성체크코트', '써스데이아일랜드원피스', '블라우스', '여성패딩', '남아한복', '온앤온코트']"
2019-02-03,"['원피스', '핸드메이드코트', '여성핸드메이드코트', '트위드자켓', '여성경량패딩', '여성숏패딩', '롱패딩', '쉬즈미스코트', '여아한복', '몽클레어여성패딩', '롱원피스', '니트원피스', '여성체크코트', '여성코트', '블라우스', '써스데이아일랜드원피스', '여성롱패딩', '여성패딩', '써스데이아일랜드', '온앤온코트']"
2019-02-04,"['원피스', '핸드메이드코트', '트위드자켓', '여성핸드메이드코트', '여성경량패딩', '여성숏패딩', '롱패딩', '쉬즈미스코트', '몽클레어여성패딩', '여성코트', '블라우스', '롱원피스', '여성체크코트', '써스데이아일랜드원피스', '니트원피스', '여성롱패딩', '제시뉴욕', '여성패딩', '써스데이아일랜드', '온앤온코트']"
2019-02-05,"['원피스', '핸드메이드코트', '트위드자켓', '여성핸드메이드코트', '여성경량패딩', '블라우스', '롱패딩', '몽클레어여성패딩', '여성코트', '여성숏패딩', '쉬즈미스코트', '여성체크코트', '써스데이아일랜드원피스', '롱원피스', '제시뉴욕', '니트원피스', '써스데이아일랜드', '코트', '여성패딩', '여성롱패딩']"
2019-02-06,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '몽클레어여성패딩', '쉬즈미스코트', '여성체크코트', '여성숏패딩', '롱원피스', '써스데이아일랜드원피스', '제시뉴욕', '써스데이아일랜드', '코트', '여성롱패딩', '니트원피스', '여성패딩']"
2019-02-07,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '쉬즈미스코트', '몽클레어여성패딩', '써스데이아일랜드원피스', '롱원피스', '여성체크코트', '여성숏패딩', '코트', '써스데이아일랜드', '제시뉴욕', '온앤온코트', '여성롱패딩', '여성패딩']"
